rec_id,role,name
292,asbestos,chrysotile
292,associated,serpentine
293,asbestos,chrysotile
294,asbestos,chrysotile
294,associated,serpentine
295,asbestos,chrysotile
295,associated,serpentine
296,asbestos,chrysotile
296,associated,serpentine
296,associated,wollastonite
296,associated,"fibrous calcite"
297,asbestos,chrysotile
297,associated,serpentine
298,asbestos,chrysotile
299,asbestos,chrysotile
299,associated,serpentine
300,asbestos,chrysotile
300,associated,serpentine
301,asbestos,chrysotile
301,associated,serpentine
302,asbestos,chrysotile
302,associated,serpentine
303,asbestos,chrysotile
303,associated,serpentine
303,associated,antigorite
304,asbestos,chrysotile
304,associated,serpentine
305,asbestos,chrysotile
306,asbestos,chrysotile
306,associated,serpentine
307,asbestos,chrysotile
307,associated,serpentine
308,asbestos,chrysotile
308,associated,serpentine
309,asbestos,chrysotile
310,asbestos,chrysotile
311,asbestos,chrysotile
311,associated,serpentine
312,asbestos,chrysotile
312,associated,serpentine
313,asbestos,chrysotile
313,associated,serpentine
313,associated,"fibrous calcite"
313,associated,quartz
313,associated,magnetite
313,associated,hematite
313,associated,sericite
314,asbestos,chrysotile
314,associated,serpentine
314,associated,magnetite
315,asbestos,chrysotile
315,associated,serpentine
316,asbestos,chrysotile
316,associated,serpentine
317,asbestos,chrysotile
317,associated,serpentine
318,asbestos,chrysotile
318,associated,serpentine
319,asbestos,chrysotile
319,associated,serpentine
320,asbestos,chrysotile
320,associated,serpentine
321,asbestos,chrysotile
321,associated,serpentine
322,asbestos,chrysotile
322,associated,serpentine
323,asbestos,chrysotile
323,associated,serpentine
324,asbestos,tremolite
325,asbestos,chrysotile
325,associated,serpentine
325,associated,magnetite
326,asbestos,chrysotile
326,associated,serpentine
327,asbestos,chrysotile
327,associated,serpentine
328,asbestos,chrysotile
329,asbestos,chrysotile
329,associated,serpentine
330,asbestos,chrysotile
330,associated,serpentine
331,asbestos,chrysotile
331,associated,serpentine
331,associated,magnetite
332,asbestos,chrysotile
332,associated,serpentine
333,asbestos,chrysotile
333,associated,serpentine
334,asbestos,chrysotile
334,associated,serpentine
335,asbestos,chrysotile
335,associated,serpentine
336,asbestos,chrysotile
336,associated,serpentine
336,associated,magnetite
337,asbestos,chrysotile
337,associated,serpentine
338,asbestos,chrysotile
338,associated,serpentine
339,asbestos,chrysotile
339,associated,serpentine
340,asbestos,chrysotile
340,associated,serpentine
341,asbestos,chrysotile
341,associated,serpentine
341,associated,magnetite
342,asbestos,chrysotile
342,associated,serpentine
343,asbestos,chrysotile
344,asbestos,chrysotile
344,associated,serpentine
345,asbestos,chrysotile
345,associated,serpentine
346,asbestos,chrysotile
346,associated,serpentine
346,associated,calcite
347,asbestos,chrysotile
348,asbestos,chrysotile
348,associated,serpentine
348,associated,"fibrous calcite"
349,asbestos,chrysotile
349,associated,serpentine
350,asbestos,chrysotile
350,associated,serpentine
350,associated,magnetite
351,asbestos,chrysotile
351,associated,serpentine
351,associated,"fibrous calcite"
352,asbestos,chrysotile
352,associated,serpentine
352,associated,calcite
353,asbestos,chrysotile
353,associated,serpentine
354,asbestos,chrysotile
354,associated,serpentine
355,asbestos,chrysotile
355,associated,serpentine
356,asbestos,chrysotile
356,associated,serpentine
356,associated,chalcocite
357,asbestos,chrysotile
357,associated,serpentine
358,asbestos,chrysotile
358,associated,serpentine
359,asbestos,chrysotile
359,associated,serpentine
360,asbestos,chrysotile
361,asbestos,chrysotile
361,associated,serpentine
362,asbestos,chrysotile
362,associated,serpentine
363,asbestos,chrysotile
363,associated,serpentine
364,asbestos,chrysotile
364,associated,serpentine
365,asbestos,chrysotile
365,associated,serpentine
366,asbestos,chrysotile
366,associated,serpentine
367,asbestos,chrysotile
367,associated,serpentine
368,asbestos,chrysotile
368,associated,serpentine
369,asbestos,chrysotile
369,associated,serpentine
370,asbestos,chrysotile
370,associated,serpentine
371,asbestos,chrysotile
371,associated,serpentine
372,asbestos,chrysotile
372,associated,serpentine
372,associated,magnetite
372,associated,"copper-oxide minerals"
372,associated,garnet
372,associated,epidote
372,associated,tremolite
372,associated,antigorite
373,asbestos,chrysotile
373,associated,serpentine
374,asbestos,chrysotile
374,associated,serpentine
375,asbestos,chrysotile
375,associated,serpentine
376,asbestos,chrysotile
376,associated,serpentine
376,associated,quartz
376,associated,hematite
377,asbestos,actinolite
377,associated,chlorite
377,associated,magnetite
378,asbestos,chrysotile
378,associated,serpentine
379,asbestos,chrysotile
379,associated,serpentine
380,asbestos,chrysotile
380,associated,serpentine
381,asbestos,chrysotile
381,associated,serpentine
382,asbestos,chrysotile
382,associated,serpentine
