rec_id,citation,ref_id
172,"Wiebelt and Smith (1959, p. 23-24)",181
172,"Southern Pacific Company (1987a, p. 65)",168
173,"Chandra (1961, p. 48-49)",67
174,"Logan (1927, p. 238)",120
174,"Rice (1957, p. 54)",159
174,"Wiebelt and Smith (1959, p. 23)",181
174,"Southern Pacific Company (1987a, p. 65)",168
175,"Logan (1927, p. 238)",120
176,"Logan (1927, p. 238)",120
176,"James (1971, p. 527, 550)",108
177,"Chidester and Shride (1962, p. 2)",73
178,"Logan (1943, p. 85)",124
179,"Linne and others (1983, p. 19, fig. 1)",118
180,"Pemberton (1983, p. 398)",156
181,"Tucker and Sampson (1945, p. 158)",174
182,"Tucker and Sampson (1945, p. 158)",174
183,"Tucker and Sampson (1929, p. 499)",172
183,"Tucker and Sampson (1945, p. 158-159)",174
183,"Davis and Fischer (1958, p. 225)",89
183,"Anonymous (2011e)",36
184,"Tucker and Sampson (1929, p. 499)",172
184,"Tucker and Sampson (1945, p. 159)",174
185,"Woodford (1943, p. 354)",183
186,"Schwarcz (1960, p. 100, 102)",164
187,"Sims (1961, p. 30)",167
188,"Averill (1947b, p. 47-48)",50
189,"Mumpton and Thompson (1975)",140
189,"Rapp and others (1981, p. 11)",158
189,"Ross and Nolan (2003, p. 456-457)",161
190,"Laizure (1926, p. 223-224)",112
191,"Faust and Fahey (1962, p. 12)",95
191,"Yoder and Chesterman (1976)",191
192,"Cooper and others (2003, p. 11)",81
193,"Louderback (1909, p. 360)",129
193,"Wise and Gill (1977)",182
193,"Laurs and others (1997)",115
194,"Tucker and Sampson (1943, p. 508)",173
194,"Wright and others (1953, p. 155)",190
194,"Bowen (1954, p. 140)",57
195,"Tucker and Sampson (1943, p. 508)",173
196,"Olson and others (1954, p. 37)",150
196,"Castor and Nason (2004)",65
196,"Castor (2008)",64
197,"Weber (1963, p. 280, 282-283)",179
198,"San Francisco Department of Public Health (2007)",162
199,"Schlocker (1974, p. 58-61)",163
200,"Schlocker (1974, p. 58-61)",163
201,"Schlocker (1974, p. 58-61)",163
202,"Faust and Fahey (1962, p. 13)",95
203,"Bodenlos (1950, p. 235)",56
204,"Averill and Norman (1951, p. 369)",51
204,"Wiebelt and Smith (1959, p. 24-25)",181
204,"Lydon and O'Brien (1974, p. 75-76)",130
204,"Southern Pacific Company (1987a, p. 172)",168
205,"Anonymous (2011h)",39
206,"Averill (1939, p. 113)",48
207,"Averill (1939, p. 113)",48
207,"O'Brien (1948, p. 354-355)",146
207,"Wiebelt and Smith (1959, p. 25)",181
207,"Lydon and O'Brien (1974, p. 76)",130
207,"Southern Pacific Company (1987a, p. 172)",168
208,"Averill (1939, p. 113)",48
208,"Lydon and O'Brien (1974, p. 137)",130
209,"O'Brien (1948, p. 355)",146
209,"Wiebelt and Smith (1959, p. 26)",181
209,"Lydon and O'Brien (1974, p. 76-77)",130
209,"Southern Pacific Company (1987a, p. 172)",168
210,"Southern Pacific Company (1987a, p. 175)",168
211,"Averill (1939, p. 113)",48
212,"Coveney (1981)",83
213,"Cooke (1947, p. 216-217)",79
214,"Ferguson and Gannett (1932, p. 125, plate 1)",96
215,"Logan (1929, p. 154-155)",121
215,"Wiebelt and Smith (1959, p. 27)",181
216,"Logan (1929, p. 154)",121
216,"Wiebelt and Smith (1959, p. 27)",181
217,"Bell (2008)",55
218,"Bell (2008)",55
219,"Wiebelt and Smith (1959, p. 36-39)",181
219,"Anonymous (2011f)",37
220,"Wiebelt and Smith (1959, p. 34-36)",181
220,"Anonymous (2011b)",33
221,"Bell (2008)",55
222,"Bell (2008)",55
223,"Southern Pacific Company (1987a, p. 174)",168
224,"Bell (2008)",55
225,"Southern Pacific Company (1987a, p. 173)",168
226,"Southern Pacific Company (1987a, p. 175)",168
227,"Southern Pacific Company (1987a, p. 175)",168
228,"Southern Pacific Company (1987a, p. 175)",168
229,"Southern Pacific Company (1987a, p. 175)",168
230,"Southern Pacific Company (1987a, p. 174)",168
231,"Rice (1957, 53 p.)",159
231,"Wiebelt and Smith (1959, p. 27-31)",181
231,"Malone and others (1962)",132
231,"Southern Pacific Company (1987a, p. 173)",168
231,"Anonymous (2011g)",38
232,"Southern Pacific Company (1987a, p. 175)",168
233,"Southern Pacific Company (1987a, p. 175)",168
234,"Southern Pacific Company (1987a, p. 173)",168
235,"Southern Pacific Company (1987a, p. 175)",168
236,"Averill (1935, p. 265)",47
