Site_ID|Name|WGS84_Lat|WGS84_Lon|Commod_gp|Src_Rec_No|Record_tp|Country|State|Ref_no
9409||-26.28|28.15|Au, Ag, Pt|1878|Mine, Abandoned|South Africa||28
9427||-26.31|26.89|Au, Pt|1896|Mine, Abandoned|South Africa||28
9435|Embo|-26.33|31.01|Cu, Ni, Co|1907|Deposit, Never Exploited|Swaziland||28
9444|Mhlambanyati|-26.36|31.03|Cu, Ni|1917|Deposit, Never Exploited|Swaziland||28
9464||-26.43|29.50|Ni, Cu|1943|Deposit, Never Exploited|South Africa||28
9470|Buhlunga|-26.46|31.04|Cu, Ni, Co|1950|Occurrence|Swaziland||28
9495||-26.57|30.55|Ni|1977|Deposit, Never Exploited|South Africa||28
9523||-26.72|30.80|Cu, Ni, PGE|2005|Occurrence|South Africa||28
10013||-28.14|31.18|Cr|2504|Occurrence|South Africa||28
10218||-28.47|21.77|Ni|2713|Deposit, Never Exploited|South Africa||28
10269||-28.54|31.11|Ni|2764|Occurrence|South Africa||28
10279||-28.55|21.81|Ni|2774|Deposit, Never Exploited|South Africa||28
10284||-28.55|21.67|Ni|2779|Deposit, Never Exploited|South Africa||28
10443|Sebenzani|-28.74|31.80|Ni, Cu, Co, PGE|2939|Occurrence|South Africa||28
10479||-28.79|19.53|Ni, Cu, Co|2975|Deposit, Never Exploited|South Africa||28
10494||-28.81|19.68|Cu, Ni|2990|Occurrence|South Africa||28
10516|Ngoye Complex|-28.84|31.79|Ni, Cu, Pt|3013|Occurrence|South Africa||28
10538||-28.86|30.82|Al, Cr, Mg|3036|Deposit, Never Exploited|South Africa||28
10539|Tugela Rand|-28.86|30.84|Al, Cr, Mg|3037|Deposit, Exploited|South Africa||28
10547|Sithilo|-28.87|31.13|Cr, Mg, corundum|3045|Occurrence|South Africa||28
10554||-28.88|30.84|Al, Cr, Mg|3052|Deposit, Never Exploited|South Africa||28
10838||-29.27|22.16|Cu, Ni|3348|Occurrence|South Africa||28
10880|Jacomyns Pan|-29.32|21.77|Ni, Cu|3391|Deposit, Never Exploited|South Africa||28
10936|Rok Optel|-29.43|21.83|Ni, Cu|3449|Deposit, Never Exploited|South Africa||28
11139||-29.93|30.72|Cu, Ni|3660|Occurrence|South Africa||28
11218||-30.31|30.65|Ni|3739|Occurrence|South Africa||28
11282||-30.59|18.63|Ni, Cu, Co|3803|Deposit, Never Exploited|South Africa||28
