Ref_no|Reference|Ref_st_frm
40|Zaw, Khin, Burrett, C. F., Berry, R. F., and Bruce, E., 1999e, Geological, tectonic and metallogenic relationships of mineral deposits in mainland Southeast Asia (P390A) [yunn_dep.dbf]: University of Tasmania Centre for Ore Deposits Research AMIRA Project P390A, CD-ROM.|Zaw and others (1999e)
41|Zaw, Khin, Burrett, C. F., Berry, R. F., and Bruce, E., 1999f, Geological, tectonic and metallogenic relationships of mineral deposits in mainland Southeast Asia (P390A) [Laos_dep.dbf]: University of Tasmania Centre for Ore Deposits Research AMIRA Project P390A, CD-ROM.|Zaw and others (1999f)
42|Zaw, Khin, Burrett, C. F., Berry, R. F., and Bruce, E., 1999g, Geological, tectonic and metallogenic relationships of mineral deposits in mainland Southeast Asia (P390A) [mala_dep.dbf]: University of Tasmania Centre for Ore Deposits Research AMIRA Project P390A, CD-ROM.|Zaw and others (1999g)
43|Peters, S.G., Ludington, S.D., Orris, G.J., Sutphin, D.M., Bliss, J.D., and Rytuba, J.J., eds., and the U.S. Geological Survey-Afghanistan Ministry of Mines Joint Mineral Resource Assessment Team, 2007, Preliminary non-fuel mineral resource assessment of Afghanistan 2007 [minerals_non_fuel_afghan-db.dbf]: U.S. Geological Survey Open-File Report 2007-1214.[http://pubs.usgs.gov/of/2007/1214/, last accessed Dec. 2, 2008].|Peters and others (2007)
46|Head Research Information Computer Center (GlavNIVC) of the Russian Ministry of Natural Resources, 1998, Natural resources GIS of Russia [ESRI coverage metall]: American Geological Institute, scale 1:2,500,000, CD-ROM.|Head Research Information Computer Center (GlavNIVC) (1998)
47|Center for Russian and Central Asian Mineral Studies, 2006b, Ukraine GIS database [KorKopBazDan_15_060123_06.mdb]: London, Natural History Museum, Center for Russian and Central Asian Mineral Studies, CD-ROM.|Center for Russian and Central Asian Mineral Studies (2006b)
48|Monthel, J., Vadala, P., Leistel, J.M., Cottard, F., Ilic, M., Strumberger, A., Tosovic, R., Stepanovic, A., 2002, Mineral deposits and mining districts of Serbia - compilation map and GIS databases [total_deposit.dbf]: BRGM/RC-51448-FR, 69 p. 1 plate, CD-ROM.|Monthel and others (2002)
49|Geological Survey of South Australia, complier, 1999, South Australia geoscientific GIS dataset, Dec., 1999 release [minocc.dbf]: Primary Industries and Resources South Australia Mineral Exploration Data Packages, 1, scale 1:2,000,000, CD-ROM.|Geological Survey of South Australia (1999)
50|Geological Survey of South Australia, complier, 2004a, South Australia State MGA GIS Dataset [Z52 - Mindep.dbf]: Department of Primary Industries and Resources South Australia, DVD-ROM.|Geological Survey of South Australia (2004a)
51|Geological Survey of South Australia, complier, 2004b, South Australia State MGA GIS Dataset [Z53 - Mindep.dbf]: Department of Primary Industries and Resources South Australia, DVD-ROM.|Geological Survey of South Australia (2004b)
52|Geological Survey of South Australia, complier, 2004c, South Australia State MGA GIS Dataset [Z54 - Mindep.dbf]: Department of Primary Industries and Resources South Australia, DVD-ROM.|Geological Survey of South Australia (2004c)
53|Salas, G.P., 1975, Carta y provincias metalogenéticas de la República Mexicana: Consejo de Recursos Minerales Publicación 21E, 2nd edición, 242 p., 1 sheet.|Salas (1975)
57|Nokleberg, W.J., West, T.D., Dawson, K.M., Shpikerman, V.I., Bundtzen, T.K., Parfenov, L.M., Monger, J.W.H., Ratkin, V.V., Baranov, B.V., Byalobzhesky, S.G., Diggles, M.F., Eremin, R.A., Fujita, Kazuya, Gordey, S.P., Gorodinskiy, M.E., Goryachev, N.A., Feeney, T.D., Frolov, Y.F., Grantz, Arthur, Khanchuck, A.I., Koch, R.D., Natalin, B.A., Natapov, L.M., Norton, I.O., Patton, W.W., Jr., Plafker, George, Pozdeev, A.I., Rozenblum, I.S., Scholl, D.W., Sokolov, S.D., Sosunov, G.M., Stone, D.B., Tabor, R.W., Tsukanov, N.V., and Vallier T.L., 1998, Summary terrane, mineral deposit, and metallogenic belt maps of the Russian Far East, Alaska, and the Canadian Cordillera [Lodedep.dbf]:  U.S. Geological Survey Open-File Report  98-136, CD-ROM.|Nokleberg and others (1998)
58|Naumova, V.V., Miller, R.J., Patuk, M.I., Kapitanchuk, M.Y., Nokleberg, W.J., Khanchuk, A.I., Parfenov, L.M., and Rodiono, S.M., 2006, Geographic Information Systems (GIS) Spatial Data Compilation of Geodynamic, Tectonic, Metallogenic, Mineral Deposit, and Geophysical Maps and Associated Descriptive Data for Northeast Asia [NEAsia.mdb]: U.S. Geological Survey Open-File Report OF 2006-1150, CD-ROM|Naumova and others (2006)
59|BRGM, 2007, Le Système d’Information Géographique sur les Ressources Minérales de la Guyane [gites_point.dbf]:  Paris, France, SIG Guyane Française Géologie and Métallogénie. [http://gisguyane.brgm.fr./index; last accessed Jul. 07, 2007].|BRGM (2007)
60|Besaire, Henri, 1964, Madagascar, carte géologique: Madagascar, Service géologique, 1 map on 3 sheets, scale 1:1,000,000.|Besairie (1964)
61|Quebec Geomining Information System [SIGÉOM], 2008, Metallic deposit (mineralized body) [shapefile – GIS_MET_pt]: Gouvernement du Québec Ressources Naturelles et Faune Online Products and Services –Mines – E-sigeom à la carte.  [http://www.mrnf.gouv.qc.ca/english/products-services/mines.jsp; last accessed Apr. 01, 2008].|Quebec Geomining Information System [SIGÉOM] (2008)
62|Geological Survey of Denmark and Greenland (GEUS), 2006b, Greenland mineral occurrence map - Regional data compilations—West Greenland (66°–70° 15’) the Palaeoproterozoic Nagssugtoqidian, Rinkian Orogen and the adjacent North Atlantic Craton: Geological Survey of Denmark (GEUS), [http://www.geus.dk/gmom/gmom-uk.htm, last accessed Nov. 2, 2006].|Geological Survey of Denmark and Greenland (GEUS) (2006b)
63|Geological Survey of Denmark and Greenland (GEUS), 2006c, Greenland mineral occurrence map - Regional data compilations—South Greenland south of 62° N, the Palaeoproterozoic Ketilidian Orogen and the southernmost part of the North Atlantic Craton: Geological Survey of Denmark (GEUS), [http://www.geus.dk/gmom/gmom-uk.htm, last accessed Nov. 2, 2006].|Geological Survey of Denmark and Greenland (GEUS) (2006c)
64|Geological Survey of Denmark and Greenland (GEUS), 2006a, Greenland mineral occurrence map - Entire Greenland—Geological environments and related mineral occurrences: Geological Survey of Denmark (GEUS), [http://www.geus.dk/gmom/gmom-uk.htm, last accessed Nov. 2, 2006].|Geological Survey of Denmark and Greenland (GEUS) (2006a)
65|Zappettini, E.O., 2005, Metallogenic Map of South America [mineral deposits tables]: Instituto de Geología y Recursos Minerales, Servicio Geológico Minero Argentino Anales 44, p. 260-269, scale 1:5,000,000.|Zappettini (2005)
66|Center for Mineral Resources, 1999, University of Arizona-Industry-USGS Mexico Consortium: University of Arizona Mexico Consortium March 1999 Release Notes 45 p., CD-ROM.|Center for Mineral Resources (1999)
67|Banerjee, J., Ghosh, S., and Mukherjee, A., compilers, 2001, Mineral atlas of India: Hyderabad, India [India Mineral Data.xls]: Geological Survey of India, 64 p., 24 sheets, scale 1:2,000,000.|Banerjee and others (2001)
68|Petrov, O., Shatov, V., Kondian, K., Markov, G., Guriev, G., Seltmann, R., and Armstrong, R., eds., 2007, Mineral deposits of the Urals 1M scale map and database: ArcView 3.2 GIS package [Ore_f.dbf]: London, Natural History Museum, Center for Russian and Central Asian Mineral Studies, 91 p., scale 1:1,000,000.|Petrov and others (2007)
69|Petrov, O., Shatov, V., Kondian, K., Markov, G., Guriev, G., Seltmann, R., and Armstrong, R., eds., 2007, Mineral deposits of the Urals 1M scale map and database: ArcView 3.2 GIS package [Ore_occ.dbf]: London, Natural History Museum, Center for Russian and Central Asian Mineral Studies, 91 p., scale 1:1,000,000.|Petrov and others (2007)
70|Kamitani, Masaharu, Okumura, Kimio, Teraoka, Yoji, Miyano, Sumiko, and Watanabe, Yasusi, 2007, Mineral resources map of East Asia: Geological Survey of Japan, scale 1:3,000,000. [http://www.gsj.jp/Map/EN/overseas.htm, last accessed Feb. 9, 2009]|Kamitani and others (2007)
