Reference,Region,Study design,Fauna,Interaction,Vegetation response,Mean value at High Fauna,SD at High Fauna,High Fauna N,Mean value at Low Fauna,SD at Low Fauna,Low Fauna N
"Ganzhorn, J.U., Fietz, J., Rakotovao, E., Schwab, D., and Zinner, D. (1999). Lemurs and the regeneration of dry deciduous forest in Madagascar. Conservation Biology 13, 794-804.",Africa,Observed,Primates,Seed dispersal,Community richness,29.4,9.93,8,21.2,7.54,7
"Gomez, J.M., and Hodar, J.A. (2008). Wild boars (Sus scrofa) affect the recruitment rate and spatial distribution of holm oak (Quercus ilex). Forest Ecology and Management 256, 1384-1389.",Europe,Manipulated,Ungulates,Multiple,Species density,0.82,0.11,2,1.54,0.19,2
"Graham, L. L. B. and Page, S. E. (2012) Artificial bird perches for the regeneration of degraded tropical peat swamp forest : a restoration tool with limited potential. Restoration Ecology. 20, 631-637 ",Asia,Manipulated,Birds,Seed dispersal,Community density,0.71,0.87,8,2.21,3.59,8
"Graham, L. L. B. and Page, S. E. (2012) Artificial bird perches for the regeneration of degraded tropical peat swamp forest : a restoration tool with limited potential. Restoration Ecology. 20, 631-637 ",Asia,Manipulated,Birds,Seed dispersal,Community density,2.42,6.28,8,5.89,8.82,8
"Gutierrez-Granados, G., and Dirzo, R. (2010). Indirect effects of timber extraction on plant recruitment and diversity via reductions in abundance of frugivorous spider monkeys. Journal of Tropical Ecology 26, 45-52.",Neotropics,Observed,Primates,Seed dispersal,Community richness,12.2,9.15,19,7.2,7.33,21
"Hanson, T., Brunsfeld, S., Finegan, B. 2006)Variation in seedling density and seed predation indicators for the emergent tree Dipteryx panaamensis in continuous and fragmented rainforest. Biotropica 38: 770-774",Neotropics,Observed,Multiple,Seed predation,Species density,0.063,0.3,33,3.51,4.95,12
"Ickes, K., Dewalt, S.J., Appanah, S. (2001) Effects of native pigs (Sus scrofa) on woody understorey vegetation in a Malaysian lowland rain forest. Journal of Tropical Ecology 17, 191-206",Asia,Manipulated,Ungulates,Multiple,Community density,75.5,50.35,8,117.5,59.4,8
"Ickes, K., Dewalt, S.J., Appanah, S. (2001) Effects of native pigs (Sus scrofa) on woody understorey vegetation in a Malaysian lowland rain forest. Journal of Tropical Ecology 17, 191-206",Asia,Manipulated,Ungulates,Multiple,Community density,14.9,23.76,8,48.8,29.98,8
"Ickes, K., Dewalt, S.J., Appanah, S. (2001) Effects of native pigs (Sus scrofa) on woody understorey vegetation in a Malaysian lowland rain forest. Journal of Tropical Ecology 17, 191-206",Asia,Manipulated,Ungulates,Multiple,Community richness,50.6,3,8,55.7,2.97,8
"Keuroghlian, A., Eaton, D.P. (2009) Removal of palm fruits and ecosystem engineering in palm stands by white-lipped peccaries (Tayassu pecari) and other frugivores in an isolated forest fragment. Biodiversity & Conservation 18: 1733-1750",Neotropics,Manipulated,Multiple,Multiple,Species density,1.56,2.44,10,1.66,2.34,10
"Keuroghlian, A., Eaton, D.P. (2009) Removal of palm fruits and ecosystem engineering in palm stands by white-lipped peccaries (Tayassu pecari) and other frugivores in an isolated forest fragment. Biodiversity & Conservation 18: 1733-1750",Neotropics,Manipulated,Multiple,Multiple,Community density,10.3,11.7,10,38.1,38,10
"Kurten, E.L., and Carson, W.P. (2015). Do Ground-Dwelling Vertebrates Promote Diversity in a Neotropical Forest? Results from a Long-Term Exclosure Experiment. Bioscience 65, 862-870.",Neotropics,Manipulated,Multiple,Non-specific,Community density,1.38,0.25,8,2.26,0.74,8
"Kurten, E.L., and Carson, W.P. (2015). Do Ground-Dwelling Vertebrates Promote Diversity in a Neotropical Forest? Results from a Long-Term Exclosure Experiment. Bioscience 65, 862-870.",Neotropics,Manipulated,Multiple,Non-specific,Community density,20.4,9.05,8,36,13.29,8
"Kurten, E.L., and Carson, W.P. (2015). Do Ground-Dwelling Vertebrates Promote Diversity in a Neotropical Forest? Results from a Long-Term Exclosure Experiment. Bioscience 65, 862-870.",Neotropics,Manipulated,Multiple,Non-specific,Community density,96.7,11.31,8,99,9.62,8
"Kurten, E.L., and Carson, W.P. (2015). Do Ground-Dwelling Vertebrates Promote Diversity in a Neotropical Forest? Results from a Long-Term Exclosure Experiment. Bioscience 65, 862-870.",Neotropics,Manipulated,Multiple,Non-specific,Community density,60.7,5.94,8,62.4,9.33,8
"Lagendijk, D.D.G., Mackey, R.L., Page, B.R., Slotow, R. (2011)The effects of herbivory by a mega- and mesoherbivore on tree recruitment in Sand forest, South Africa. PLoS ONE 6: e17983",Africa,Manipulated,Multiple,Herbivory,Community density,4951,4177.85,12,7316.5,6518.68,12
"Lagendijk, D.D.G., Mackey, R.L., Page, B.R., Slotow, R. (2011)The effects of herbivory by a mega- and mesoherbivore on tree recruitment in Sand forest, South Africa. PLoS ONE 6: e17983",Africa,Manipulated,Multiple,Herbivory,Community density,1989,2268.46,12,2832,2810.57,12
"Lermyte, C., and Forget, P.M. (2009). Rapid assessment of dispersal failure and seedling recruitment of large-seeded non-timber forest products trees in a tropical rainforest. Tropical Conservation Science 2, 404-424.",Neotropics,Observed,Multiple,Multiple,Species dispersion,49.92,24.46,4,27.735,11.26,4
"Meers, T., Adams, R. (2003) The impact of grazing by eastern grey kangaroos (Macropus giganteus) on vegetation recovery after fire at Reef Hills Regional Park, Victoria. Ecol. Manage. Restor. 4, 126-132",Australasia and Oceania,Manipulated,Marsupials,Herbivory,Community density,0.58,0.58,4,9.15,6.44,4
"Meers, T., Adams, R. (2003) The impact of grazing by eastern grey kangaroos (Macropus giganteus) on vegetation recovery after fire at Reef Hills Regional Park, Victoria. Ecol. Manage. Restor. 4, 126-132",Australasia and Oceania,Manipulated,Marsupials,Herbivory,Community richness,3.63,0.78,4,4.82,1.06,4
"Michel, N.L., Carson, W.P., and Sherry, T.W. (2015). Do Collared Peccaries Negatively Impact Understory Insectivorous Rain Forest Birds Indirectly Via Lianas and Vines? Biotropica 47, 745-757.",Neotropics,Manipulated,Ungulates,Soil/litter disturbance,Vegetation cover,93.63,1.38,4,94.6,0.8,4
"Michel, N.L., Carson, W.P., and Sherry, T.W. (2015). Do Collared Peccaries Negatively Impact Understory Insectivorous Rain Forest Birds Indirectly Via Lianas and Vines? Biotropica 47, 745-757.",Neotropics,Manipulated,Ungulates,Soil/litter disturbance,Vegetation cover,93.48,1.26,4,94.88,0.9,4
"Michel, N.L., Carson, W.P., and Sherry, T.W. (2015). Do Collared Peccaries Negatively Impact Understory Insectivorous Rain Forest Birds Indirectly Via Lianas and Vines? Biotropica 47, 745-757.",Neotropics,Manipulated,Ungulates,Soil/litter disturbance,Vegetation cover,96.2,0.6,5,96.56,0.69,5
"Nuñez-Iturri, G., Howe, H.F. (2007) Bushmeat and the fate of trees with seeds dispersed by large primates in a lowland rain forest in Western Amazonia, Biotropica 39, 348-354",Neotropics,Observed,Primates,Seed dispersal,Community richness,16.5,2.68,5,7.5,1.57,5
"Nuñez-Iturri, G., Howe, H.F. (2007) Bushmeat and the fate of trees with seeds dispersed by large primates in a lowland rain forest in Western Amazonia, Biotropica 39, 348-354",Neotropics,Observed,Primates,Seed dispersal,Community richness,27.1,3.13,5,36.2,3.8,5
"Nuñez-Iturri, G., Howe, H.F. (2007) Bushmeat and the fate of trees with seeds dispersed by large primates in a lowland rain forest in Western Amazonia, Biotropica 39, 348-354",Neotropics,Observed,Primates,Seed dispersal,Community richness,3.8,1.01,5,6.1,1.01,5
"Nuñez-Iturri, G., Howe, H.F. (2007) Bushmeat and the fate of trees with seeds dispersed by large primates in a lowland rain forest in Western Amazonia, Biotropica 39, 348-354",Neotropics,Observed,Primates,Seed dispersal,Community density,26.6,4.7,5,11.2,1.34,5
"Nuñez-Iturri, G., Howe, H.F. (2007) Bushmeat and the fate of trees with seeds dispersed by large primates in a lowland rain forest in Western Amazonia, Biotropica 39, 348-354",Neotropics,Observed,Primates,Seed dispersal,Community density,45.6,7.38,5,67.5,8.05,5
"Nuñez-Iturri, G., Howe, H.F. (2007) Bushmeat and the fate of trees with seeds dispersed by large primates in a lowland rain forest in Western Amazonia, Biotropica 39, 348-354",Neotropics,Observed,Primates,Seed dispersal,Community density,5.8,2.46,5,10.7,3.58,5
"Nuñez-Iturri, G., Olsson, O., Howe, H.F. (2008) Hunting reduces recruitment of primate-dispersed trees in Amazonian Peru. Biological Conservation 141, 1536-1546",Neotropics,Observed,Primates,Seed dispersal,Community richness,1.58,2.08,30,0.63,1.31,30
"Nuñez-Iturri, G., Olsson, O., Howe, H.F. (2008) Hunting reduces recruitment of primate-dispersed trees in Amazonian Peru. Biological Conservation 141, 1536-1546",Neotropics,Observed,Primates,Seed dispersal,Community richness,1.63,0.22,30,1.8,2.08,30
"Nuñez-Iturri, G., Olsson, O., Howe, H.F. (2008) Hunting reduces recruitment of primate-dispersed trees in Amazonian Peru. Biological Conservation 141, 1536-1546",Neotropics,Observed,Primates,Seed dispersal,Community density,1.84,8.38,30,0.78,6.02,30
"Nuñez-Iturri, G., Olsson, O., Howe, H.F. (2008) Hunting reduces recruitment of primate-dispersed trees in Amazonian Peru. Biological Conservation 141, 1536-1546",Neotropics,Observed,Primates,Seed dispersal,Community density,2.82,9.97,30,11.21,18.68,30
"O'Kane, C.A.J., Duffy, K.J., Page, B.R., Macdonald, D.W. (2012) Heavy impact on seedlings by the impala suggests a central role in woodland dynamics. Journal of Tropical Ecology 28: 291-297",Africa,Observed,Ungulates,Herbivory,Community density,0.124,0.3,100,0.202,0.49,100
"Pejchar, L. (2015) Introduced birds incompletely replace seed dispersal by a native frugivore. AOB Plants 7: plv072",Australasia and Oceania,Observed,Birds,Seed dispersal,Community richness,11.7,0.4,40,12,0.4,40
"Roldan, A.I., and Simonetti, J.A. (2001). Plant-mammal interactions in tropical Bolivian forests with different hunting pressures. Conservation Biology 15, 617-623.",Neotropics,Observed,Multiple,Multiple,Community density,4.21,0.1,20,3.92,0.2,20
"Rutina, L.P. & Moe, S.R. (2014) Elephant (Loxodonta africana) disturbance to riparian woodland: effects on tree species richness, diversity and functional redundancy. Ecosystems 17: 1384-1396",Africa,Observed,Elephant,Multiple,Community density,0.05,0.08,16,0.15,0.08,16
"Rutina, L.P. & Moe, S.R. (2014) Elephant (Loxodonta africana) disturbance to riparian woodland: effects on tree species richness, diversity and functional redundancy. Ecosystems 17: 1384-1396",Africa,Observed,Elephant,Multiple,Community density,0.05,0.08,16,0.04,0.08,16
