stationname,latdeg,latmin,londeg,lonmin,elevation,observedgravity,freeairanomaly,simplebougaranomaly,innerterraincorrection,totalterraincorrection,correctionextent,completebougaranomaly,isostaticresidualanomaly
ECR2,36,46.28,121,24.62,721.3,979793.80,-23.28,-47.88,0.59,3.52,D,-44.67,-30.02
ECR3,36,46.31,121,24.60,721.3,979793.50,-23.63,-48.23,0.62,3.47,D,-45.06,-30.41
ECR4,36,46.34,121,24.58,713.6,979793.78,-24.11,-48.45,0.60,3.43,D,-45.32,-30.64
ECR5,36,46.37,121,24.56,703.0,979794.34,-24.59,-48.57,0.60,3.42,D,-45.45,-30.76
ECR6,36,46.40,121,24.54,693.2,979794.51,-25.39,-49.03,0.65,3.46,D,-45.86,-31.14
ECR7,36,46.42,121,24.52,684.6,979794.80,-25.94,-49.29,0.68,3.49,D,-46.09,-31.36
ECR8,36,46.45,121,24.51,682.0,979794.65,-26.37,-49.63,0.75,3.52,D,-46.40,-31.67
ECR9,36,46.48,121,24.50,679.1,979794.65,-26.69,-49.85,0.85,3.59,D,-46.55,-31.80
EHH1,36,46.41,121,25.50,829.3,979792.97,-14.14,-42.43,0.86,4.11,D,-38.66,-24.82
EHH2,36,46.43,121,25.54,833.2,979792.76,-14.01,-42.43,1.01,4.23,D,-38.55,-24.75
EHH3,36,46.44,121,25.58,836.0,979792.96,-13.57,-42.08,0.92,4.14,D,-38.29,-24.52
EHH4,36,46.45,121,25.61,835.8,979793.31,-13.25,-41.75,0.93,4.16,D,-37.94,-24.20
EHH5,36,46.45,121,25.62,838.3,979793.43,-12.89,-41.48,0.93,4.15,D,-37.69,-23.96
EHH6,36,46.45,121,25.64,835.9,979793.80,-12.75,-41.26,0.95,4.21,D,-37.40,-23.69
EHH7,36,46.45,121,25.66,832.3,979794.23,-12.66,-41.04,0.99,4.29,D,-37.10,-23.40
EHH8,36,46.44,121,25.68,833.0,979794.46,-12.35,-40.76,1.01,4.34,D,-36.77,-23.09
EHH9,36,46.44,121,25.70,834.5,979794.65,-12.02,-40.48,1.03,4.37,D,-36.46,-22.80
EHR1,36,49.17,121,23.26,333.4,979819.99,-37.75,-49.13,0.07,1.26,D,-48.01,-32.24
EHR2,36,49.15,121,23.30,328.0,979820.30,-37.92,-49.11,0.01,1.21,D,-48.04,-32.30
EHR3,36,49.14,121,23.34,328.0,979820.32,-37.89,-49.08,0.01,1.21,D,-48.01,-32.30
EHR4,36,49.13,121,23.38,328.2,979820.36,-37.82,-49.01,0.01,1.21,D,-47.94,-32.27
EHR5,36,49.10,121,23.38,326.3,979820.52,-37.79,-48.92,0.02,1.24,D,-47.82,-32.14
EHR6,36,49.07,121,23.37,320.5,979820.89,-37.92,-48.85,0.00,1.24,D,-47.75,-32.07
EHR7,36,49.05,121,23.37,316.4,979821.10,-38.07,-48.86,0.00,1.25,D,-47.75,-32.07
EHR8,36,49.04,121,23.38,315.9,979821.10,-38.10,-48.88,0.00,1.25,D,-47.76,-32.09
EHR9,36,49.03,121,23.40,316.4,979820.97,-38.17,-48.96,0.00,1.26,D,-47.84,-32.18
ELR1,36,57.86,121,27.65,147.0,979853.55,-34.30,-39.31,0.00,0.96,D,-38.42,-24.50
ELR2,36,57.87,121,27.63,146.5,979853.62,-34.29,-39.29,0.00,0.95,D,-38.40,-24.47
ELR3,36,57.88,121,27.61,146.8,979853.63,-34.27,-39.27,0.00,0.96,D,-38.38,-24.43
ELR4,36,57.88,121,27.59,146.7,979853.68,-34.23,-39.23,0.00,0.96,D,-38.33,-24.35
ELR5,36,57.89,121,27.57,146.9,979853.68,-34.22,-39.23,0.00,0.96,D,-38.34,-24.35
ELR6,36,57.90,121,27.56,147.0,979853.71,-34.20,-39.21,0.00,0.96,D,-38.32,-24.32
ELR7,36,57.90,121,27.54,147.3,979853.73,-34.15,-39.17,0.00,0.96,D,-38.28,-24.27
ELR8,36,57.91,121,27.52,147.5,979853.76,-34.11,-39.15,0.00,0.97,D,-38.24,-24.21
ELR9,36,57.92,121,27.50,147.6,979853.81,-34.07,-39.10,0.00,0.97,D,-38.20,-24.16
EMC0,36,52.18,121,24.00,259.7,979828.42,-40.61,-49.47,0.01,0.89,D,-48.69,-33.43
EMC1,36,52.17,121,24.03,256.1,979828.57,-40.78,-49.52,0.00,0.89,D,-48.74,-33.50
EMC2,36,52.17,121,24.08,254.4,979828.73,-40.78,-49.46,0.00,0.89,D,-48.68,-33.48
EMC3,36,52.17,121,24.13,254.1,979828.77,-40.77,-49.44,0.00,0.88,D,-48.67,-33.51
EMC4,36,52.18,121,24.18,253.3,979828.76,-40.87,-49.51,0.00,0.88,D,-48.74,-33.61
EMC5,36,52.18,121,24.22,253.4,979828.75,-40.87,-49.51,0.00,0.88,D,-48.75,-33.65
EMC6,36,52.18,121,24.27,254.0,979828.73,-40.84,-49.50,0.00,0.88,D,-48.73,-33.67
EMC7,36,52.18,121,24.32,255.3,979828.61,-40.83,-49.54,0.05,0.93,D,-48.72,-33.69
EMC8,36,52.19,121,24.35,254.6,979828.77,-40.75,-49.44,0.04,0.92,D,-48.63,-33.63
EMC9,36,52.19,121,24.39,253.2,979828.92,-40.73,-49.37,0.00,0.88,D,-48.60,-33.63
EQ10,36,56.80,121,14.24,1810.0,979756.53,26.62,-35.11,0.31,3.09,D,-32.72,-11.76
EQ11,36,57.44,121,16.15,1835.0,979757.65,29.17,-33.42,0.38,2.82,D,-31.31,-11.16
EQ12,36,57.86,121,16.92,1612.0,979772.14,22.08,-32.90,0.57,2.60,D,-30.94,-11.07
EQ13,36,58.24,121,15.96,1425.0,979784.41,16.21,-32.39,0.39,1.96,D,-31.00,-10.71
EQ14,36,56.35,121,17.62,860.0,979814.45,-4.15,-33.48,0.82,3.63,D,-30.21,-10.57
EQ15,36,55.90,121,18.70,890.0,979812.06,-3.07,-33.42,0.71,2.47,D,-31.32,-12.31
EQ16,36,56.08,121,19.89,540.0,979833.05,-15.26,-33.67,0.92,2.64,D,-31.27,-12.87
EQ17,36,55.39,121,20.20,422.0,979836.96,-21.45,-35.84,0.32,2.09,D,-33.93,-15.76
EQ18,36,57.01,121,22.92,219.0,979855.48,-24.37,-31.84,0.10,1.22,D,-30.71,-13.97
EQ19,36,56.86,121,23.86,202.0,979855.09,-26.14,-33.03,0.00,1.00,D,-32.12,-16.00
EQ20,36,53.05,121,19.23,475.8,979827.22,-22.74,-38.97,0.04,1.82,D,-37.35,-18.65
EQ21,36,53.10,121,18.21,742.0,979813.12,-11.88,-37.18,0.31,2.66,D,-34.84,-15.54
EQ22,36,54.28,121,17.24,1417.6,979774.69,11.53,-36.82,0.67,3.08,D,-34.31,-14.56
EQ23,36,55.10,121,16.56,1834.0,979752.40,27.21,-35.34,0.38,3.16,D,-32.89,-12.86
EQ24,36,54.68,121,15.84,2096.9,979734.26,34.40,-37.12,0.39,3.97,D,-33.94,-13.56
EQ25,36,54.53,121,14.79,2538.0,979705.15,46.99,-39.58,0.38,4.72,D,-35.78,-14.95
EQ26,36,49.29,121,19.23,690.0,979808.74,-15.64,-39.17,0.19,1.32,D,-38.14,-19.31
EQ27,36,48.83,121,13.32,1938.0,979733.32,26.98,-39.12,0.57,2.96,F,-36.90,-14.35
EQ28,36,48.73,121,14.93,1153.0,979784.02,4.00,-35.33,0.30,2.16,D,-33.64,-11.89
EQ29,36,47.08,121,15.11,898.0,979791.39,-10.23,-40.86,0.04,1.60,D,-39.63,-17.69
EQ30,36,46.67,121,14.42,979.7,979785.57,-7.77,-41.19,0.07,1.77,D,-39.82,-17.39
EQ31,36,48.08,121,17.33,905.0,979794.85,-7.56,-38.42,0.73,1.95,D,-36.85,-16.57
EQ32,36,46.60,121,18.36,508.9,979814.08,-23.44,-40.80,0.31,2.04,D,-38.98,-19.20
EQ33,36,45.54,121,20.16,455.0,979804.09,-36.97,-52.49,0.12,2.09,D,-50.60,-32.12
EQ34,36,46.40,121,20.66,470.0,979807.86,-33.03,-49.06,0.14,1.84,D,-47.42,-29.40
EQ35,36,45.43,121,30.18,3171.0,979663.93,78.44,-29.71,5.60,21.41,D,-9.38,-0.40
EQ36,36,48.37,121,30.32,578.0,979825.26,-8.32,-28.03,1.76,5.27,D,-23.01,-13.54
EQ37,36,44.95,121,17.14,610.0,979800.76,-24.87,-45.67,0.23,2.14,D,-43.79,-22.94
EQ38,36,44.29,121,15.42,869.0,979783.03,-17.29,-46.92,0.14,1.93,D,-45.36,-23.25
EQ39,36,43.62,121,16.22,687.0,979789.15,-27.32,-50.75,0.00,1.55,D,-49.49,-27.85
EQ40,36,52.91,121,23.94,237.0,979832.86,-39.36,-47.44,0.00,0.87,D,-46.68,-31.31
EQ41,36,57.66,121,21.15,843.0,979818.99,-3.11,-31.86,0.52,2.22,D,-29.99,-12.13
EQ42,36,58.64,121,21.30,1210.0,979797.18,8.18,-33.09,2.29,5.61,D,-27.97,-10.06
EQ43,36,59.33,121,20.99,1344.0,979792.13,14.74,-31.10,0.90,4.01,D,-27.63,-9.43
EQ44,36,59.46,121,20.04,1563.0,979779.20,22.21,-31.10,0.38,3.59,D,-28.12,-9.46
EQ46,36,58.72,121,19.34,1545.0,979777.92,20.31,-32.38,0.44,3.20,D,-29.79,-10.93
EQ47,36,58.30,121,18.30,1610.0,979771.77,20.88,-34.03,1.53,4.47,D,-30.19,-10.91
EQ48,36,59.37,121,17.14,1962.0,979752.68,33.35,-33.57,1.68,5.26,D,-29.06,-9.25
EQ49,36,58.76,121,17.04,1795.0,979762.75,28.60,-32.63,0.63,3.09,D,-30.23,-10.39
EQ50,36,58.12,121,20.13,810.0,979823.50,-2.36,-29.99,0.74,2.42,D,-27.91,-9.43
EQ51,36,57.25,121,18.96,550.0,979835.51,-13.55,-32.31,0.41,3.03,D,-29.51,-10.51
EQ52,36,57.36,121,20.34,455.0,979843.29,-14.86,-30.38,0.08,1.76,D,-28.82,-10.53
EQ53,36,54.14,121,19.53,465.0,979830.96,-21.59,-37.45,0.14,2.18,D,-35.47,-16.97
EQ54,36,54.66,121,18.78,730.0,979815.21,-13.17,-38.07,1.37,4.02,D,-34.36,-15.41
EQ55,36,55.08,121,18.04,1530.0,979768.91,15.16,-37.02,0.71,3.69,D,-33.94,-14.68
EQ56,36,45.80,121,25.08,1590.0,979747.62,12.93,-41.30,2.56,6.37,D,-35.55,-21.46
EQ57,36,45.80,121,25.79,1981.0,979728.79,30.87,-36.69,1.71,7.51,D,-29.94,-16.55
EQ58,36,45.31,121,25.47,2035.0,979728.37,36.24,-33.17,1.05,5.98,D,-27.96,-14.28
EQ59,36,44.47,121,25.83,2850.0,979680.25,65.97,-31.24,1.18,10.53,D,-21.71,-8.49
EQ60,36,44.34,121,26.46,2662.0,979695.78,64.01,-26.78,2.16,9.54,D,-18.20,-5.54
EQ61,36,43.69,121,27.04,2320.0,979725.13,62.14,-16.99,0.24,4.14,D,-13.71,-1.53
EQ62,36,44.80,121,24.79,2078.0,979722.88,35.53,-35.34,2.95,8.02,D,-28.11,-13.81
EQ63,36,45.14,121,24.59,1916.0,979729.84,26.76,-38.58,2.56,7.56,D,-31.76,-17.26
EQ64,36,45.17,121,23.83,1612.0,979742.53,10.82,-44.16,2.91,6.28,D,-38.51,-23.27
EQ65,36,58.81,121,23.88,1228.0,979794.48,6.93,-34.95,1.55,5.78,D,-29.67,-13.15
EQ66,36,59.62,121,24.58,1420.0,979785.06,14.39,-34.04,1.21,5.39,D,-29.22,-12.88
EQ67,36,59.87,121,25.22,1433.0,979786.98,17.17,-31.70,0.82,4.39,D,-27.88,-11.81
EQ68,36,59.05,121,25.53,850.0,979822.08,-1.37,-30.36,0.53,2.81,D,-27.91,-12.25
EQ69,36,59.45,121,25.66,1110.0,979805.96,6.38,-31.47,0.88,3.98,D,-27.95,-12.25
EQ80,36,59.13,121,24.24,1010.0,979811.51,2.99,-31.45,0.27,2.50,D,-29.37,-12.95
EQ81,36,58.23,121,23.98,790.0,979822.66,-5.25,-32.19,0.44,2.38,D,-30.14,-13.80
EQ82,36,46.77,121,24.85,1295.0,979755.56,-8.27,-52.44,0.86,3.88,D,-49.08,-34.74
EQ83,36,47.20,121,25.03,875.0,979782.45,-21.51,-51.35,0.89,2.88,D,-48.83,-34.60
EQ84,36,46.30,121,26.82,1857.0,979737.69,27.39,-35.95,4.30,9.01,D,-27.65,-15.19
EQ85,36,45.92,121,27.50,2090.0,979731.83,43.99,-27.29,1.50,6.31,D,-21.77,-9.98
EQ86,36,46.42,121,27.38,2141.0,979723.64,39.87,-33.15,1.50,7.46,D,-26.49,-14.57
EQ87,36,47.08,121,26.84,1697.0,979741.84,15.37,-42.51,2.23,6.47,D,-36.71,-24.22
EQ88,36,46.88,121,26.37,1528.0,979751.76,9.68,-42.43,2.26,5.55,D,-37.49,-24.55
EQ89,36,50.52,121,19.03,573.0,979819.59,-17.57,-37.11,0.17,1.48,D,-35.88,-16.98
EQ90,36,50.23,121,13.77,1798.0,979745.45,23.92,-37.40,0.14,2.14,D,-35.96,-13.87
EQ91,36,51.28,121,14.64,2296.0,979713.40,37.18,-41.13,0.57,4.52,D,-37.46,-16.11
EQ92,36,52.53,121,15.05,2465.0,979705.16,43.03,-41.05,0.51,4.83,D,-37.12,-16.18
EQ93,36,52.31,121,14.09,2610.0,979695.80,47.62,-41.40,0.37,4.69,D,-37.65,-16.21
EQ94,36,52.79,121,13.47,2752.0,979684.58,49.06,-44.80,2.37,7.98,F,-37.80,-16.15
EQ95,36,50.80,121,15.17,2284.0,979710.95,34.30,-43.60,1.82,7.49,D,-36.96,-15.84
EQ96,36,51.26,121,16.12,1185.0,979784.47,3.80,-36.62,0.84,4.15,D,-32.95,-12.29
EQ97,36,46.37,121,16.07,1355.0,979760.53,2.92,-43.30,0.51,2.48,D,-41.36,-20.07
EQ98,36,45.33,121,15.08,1584.0,979742.21,7.64,-46.39,0.55,3.11,D,-43.90,-21.83
EQ99,36,46.73,121,17.06,755.0,979799.32,-15.24,-40.99,0.41,1.97,D,-39.34,-18.68
EST1,36,47.09,121,21.46,409.6,979813.38,-34.19,-48.16,0.01,1.73,D,-46.61,-29.29
EST2,36,47.07,121,21.47,410.0,979813.24,-34.26,-48.25,0.06,1.80,D,-46.62,-29.31
EST3,36,47.03,121,21.48,403.3,979813.38,-34.70,-48.45,0.02,1.83,D,-46.80,-29.48
EST4,36,47.00,121,21.49,404.8,979812.96,-34.93,-48.74,0.03,1.88,D,-47.03,-29.72
EST5,36,46.96,121,21.50,411.7,979812.13,-35.05,-49.10,0.07,1.94,D,-47.33,-30.03
EST6,36,46.93,121,21.51,421.1,979811.09,-35.17,-49.53,0.10,1.98,D,-47.73,-30.44
EST7,36,46.90,121,21.52,430.9,979810.20,-35.09,-49.79,0.15,2.04,D,-47.94,-30.65
EST8,36,46.86,121,21.53,434.7,979809.77,-35.11,-49.93,0.21,2.14,D,-47.98,-30.69
EST9,36,46.83,121,21.53,450.5,979808.54,-34.81,-50.17,0.30,2.21,D,-48.16,-30.88
FOB2,36,39.92,121,47.66,171.8,979832.53,-27.05,-32.91,0.05,2.10,D,-30.89,-44.71
SCB1,36,44.04,121,28.01,2165.0,979739.51,61.44,-12.40,0.21,3.56,F,-9.65,1.60
SCB2,36,42.70,121,27.19,2336.0,979723.72,63.66,-16.01,2.34,6.00,F,-10.87,1.15
SCB3,36,42.66,121,2.92,2613.0,979682.72,48.77,-40.35,4.17,6.20,F,-35.09,-6.78
20-14,36,59.89,121,30.11,178.0,979869.40,-18.47,-24.54,0.05,1.24,F,-23.38,-10.18
20-15,36,58.70,121,30.47,145.0,979869.24,-20.01,-24.96,0.00,0.96,F,-24.06,-11.71
20-16,36,59.32,121,30.96,155.0,979873.99,-15.22,-20.51,0.00,1.01,F,-19.57,-7.26
20-17,36,58.41,121,31.22,149.0,979872.71,-15.75,-20.83,0.00,0.93,F,-19.97,-8.31
20-18,36,57.96,121,30.72,146.0,979868.40,-19.69,-24.67,0.00,0.91,F,-23.82,-12.01
20-19,36,57.83,121,31.84,167.0,979876.08,-9.84,-15.54,0.02,0.96,F,-14.65,-3.73
20-20,36,58.17,121,32.50,177.0,979881.26,-4.22,-10.25,0.00,0.99,F,-9.34,1.26
20-21,36,57.26,121,31.46,148.0,979874.18,-12.71,-17.75,0.00,0.91,F,-16.91,-5.98
20-22,36,56.82,121,30.53,143.0,979866.79,-19.93,-24.81,0.00,0.88,F,-23.99,-12.56
20-23,36,55.22,121,30.81,195.0,979862.20,-17.31,-23.96,0.59,1.46,F,-22.59,-12.00
20-24,36,59.10,121,32.74,172.0,979882.58,-4.71,-10.58,0.00,1.03,F,-9.63,1.30
20-25,36,59.50,121,33.50,187.0,979886.38,-0.08,-6.46,0.02,1.11,F,-5.43,5.17
20-26,36,59.50,121,34.23,209.0,979887.15,2.76,-4.37,0.14,1.33,F,-3.13,6.96
20-27,36,58.94,121,34.34,229.0,979888.06,6.36,-1.45,0.43,1.63,F,0.07,9.74
20-28,36,58.42,121,33.73,180.0,979890.07,4.51,-1.63,0.28,1.43,F,-0.27,9.55
20-29,36,57.98,121,33.65,210.0,979890.58,8.48,1.32,0.53,1.63,F,2.85,12.49
20-30,36,58.12,121,33.14,177.0,979887.60,2.20,-3.84,0.11,1.18,F,-2.74,7.36
20-31,36,57.01,121,33.11,154.0,979889.10,3.14,-2.11,0.42,1.48,F,-0.70,8.87
20-32,36,55.87,121,32.83,144.0,979871.63,-13.62,-18.53,0.31,1.35,F,-17.25,-7.99
20-33,36,55.92,121,32.28,129.0,979875.62,-11.11,-15.51,0.10,1.10,F,-14.47,-4.75
20-34,36,56.28,121,31.95,135.0,979876.80,-9.89,-14.50,0.03,0.99,F,-13.56,-3.43
22-16,36,59.34,121,47.98,271.0,979865.29,-13.04,-22.28,0.21,1.89,F,-20.51,-21.67
22-17,36,58.30,121,47.43,219.0,979869.80,-11.91,-19.38,0.14,1.62,F,-17.86,-19.50
22-18,36,58.27,121,46.77,215.0,979867.69,-14.36,-21.69,0.11,1.57,F,-20.21,-21.26
22-19,36,59.31,121,46.56,235.0,979864.74,-16.93,-24.95,0.22,1.91,F,-23.14,-23.04
22-20,36,58.72,121,45.92,229.0,979864.10,-17.28,-25.09,0.13,1.69,F,-23.50,-23.37
22-21,36,57.72,121,45.83,168.0,979869.68,-15.99,-21.72,0.08,1.49,F,-20.31,-20.98
22-22,36,56.25,121,46.51,117.0,979880.00,-8.34,-12.33,0.04,1.34,F,-11.04,-13.68
22-23,36,57.08,121,47.66,162.0,979877.95,-7.36,-12.88,0.07,1.44,F,-11.52,-14.54
22-24,36,57.81,121,48.49,198.0,979876.50,-6.48,-13.23,0.12,1.57,F,-11.75,-14.87
22-25,36,58.19,121,48.35,214.0,979874.27,-7.75,-15.05,0.15,1.65,F,-13.50,-16.12
22-26,36,58.97,121,49.00,285.0,979870.25,-6.23,-15.95,0.55,2.18,F,-13.89,-16.37
22-28,36,59.45,121,49.62,372.2,979866.54,-2.43,-15.12,0.46,2.19,F,-13.09,-15.69
22-29,36,59.27,121,50.16,360.0,979869.31,-0.55,-12.82,0.83,2.53,F,-10.45,-13.74
22-31,36,59.18,121,50.74,368.6,979871.92,3.00,-9.57,0.63,2.35,F,-7.38,-11.33
22-32,36,59.18,121,51.53,250.0,979883.47,3.40,-5.13,0.46,2.23,F,-3.01,-7.73
22-33,36,58.88,121,51.82,206.9,979886.84,3.15,-3.91,0.74,2.46,F,-1.54,-6.87
22-34,36,58.77,121,53.53,110.0,979898.58,5.93,2.18,0.51,2.25,F,4.37,-2.82
B225A,36,48.58,121,23.77,351.6,979817.30,-37.88,-49.87,0.12,1.58,D,-48.44,-33.09
B447A,36,54.67,121,25.00,189.0,979840.84,-38.44,-44.89,0.00,0.81,,-44.16,-29.32
BL1,36,48.62,121,22.68,349.0,979818.69,-36.79,-48.69,0.71,2.01,D,-46.84,-30.60
BL10,36,48.40,121,22.69,343.6,979818.70,-36.97,-48.69,0.03,1.43,D,-47.41,-31.17
BL11,36,48.38,121,22.69,343.9,979818.63,-36.98,-48.71,0.03,1.44,D,-47.42,-31.18
BL12,36,48.35,121,22.69,344.4,979818.53,-36.99,-48.74,0.02,1.44,D,-47.45,-31.20
BL13,36,48.33,121,22.69,344.4,979818.48,-37.02,-48.76,0.02,1.46,D,-47.45,-31.20
BL14,36,48.31,121,22.69,344.3,979818.45,-37.03,-48.77,0.03,1.48,D,-47.44,-31.20
BL15,36,48.31,121,22.72,340.8,979818.66,-37.14,-48.77,0.01,1.48,D,-47.44,-31.22
BL16,36,48.31,121,22.74,340.5,979818.69,-37.14,-48.76,0.01,1.48,D,-47.42,-31.21
BL17,36,48.31,121,22.77,339.0,979818.81,-37.16,-48.73,0.01,1.49,D,-47.38,-31.20
BL18,36,48.31,121,22.80,336.4,979818.83,-37.39,-48.86,0.01,1.51,D,-47.50,-31.34
BL19,36,48.30,121,22.82,334.6,979818.78,-37.59,-49.01,0.03,1.55,D,-47.60,-31.45
BL2,36,48.60,121,22.67,343.3,979819.17,-36.82,-48.53,0.28,1.60,D,-47.08,-30.83
BL20,36,48.30,121,22.85,328.3,979819.05,-37.92,-49.11,0.06,1.60,D,-47.66,-31.54
BL21,36,48.29,121,22.88,335.9,979818.43,-37.81,-49.26,0.05,1.59,D,-47.82,-31.72
BL22,36,48.27,121,22.92,336.5,979818.22,-37.93,-49.41,0.05,1.63,D,-47.92,-31.85
BL23,36,48.25,121,22.95,335.4,979818.12,-38.11,-49.55,0.07,1.68,D,-48.01,-31.96
BL24,36,48.24,121,22.98,349.8,979817.09,-37.77,-49.70,0.11,1.69,D,-48.16,-32.15
BL25,36,48.22,121,23.00,363.6,979816.54,-36.99,-49.39,0.19,1.76,D,-47.79,-31.79
BL26,36,48.20,121,23.02,384.6,979814.78,-36.75,-49.86,0.11,1.65,D,-48.38,-32.40
BL27,36,48.19,121,23.04,386.6,979814.67,-36.65,-49.84,0.13,1.68,D,-48.33,-32.36
BL28,36,48.18,121,23.07,388.7,979814.53,-36.58,-49.84,0.12,1.68,D,-48.33,-32.39
BL29,36,48.17,121,23.09,391.5,979814.31,-36.52,-49.88,0.14,1.71,D,-48.34,-32.42
BL3,36,48.57,121,22.67,343.3,979819.19,-36.76,-48.46,0.18,1.51,D,-47.10,-30.85
BL30,36,48.16,121,23.11,394.1,979814.09,-36.48,-49.93,0.14,1.72,D,-48.38,-32.47
BL31,36,48.15,121,23.13,396.9,979813.86,-36.44,-49.97,0.15,1.74,D,-48.41,-32.53
BL32,36,48.13,121,23.13,399.6,979813.61,-36.40,-50.03,0.18,1.79,D,-48.42,-32.54
BL33,36,48.11,121,23.14,405.8,979813.22,-36.18,-50.02,0.26,1.87,D,-48.33,-32.46
BL34,36,48.09,121,23.14,410.9,979812.87,-36.02,-50.04,0.35,1.97,D,-48.25,-32.37
BL35,36,48.07,121,23.15,419.6,979812.16,-35.89,-50.20,0.47,2.09,D,-48.29,-32.43
BL4,36,48.55,121,22.68,343.3,979819.13,-36.79,-48.50,0.11,1.45,D,-47.19,-30.94
BL5,36,48.53,121,22.68,343.4,979819.04,-36.84,-48.55,0.07,1.42,D,-47.28,-31.03
BL6,36,48.51,121,22.68,343.5,979819.00,-36.84,-48.56,0.04,1.39,D,-47.32,-31.07
BL7,36,48.48,121,22.68,343.6,979818.97,-36.82,-48.54,0.03,1.39,D,-47.30,-31.05
BL8,36,48.45,121,22.68,343.5,979818.82,-36.93,-48.65,0.02,1.40,D,-47.40,-31.15
BL9,36,48.43,121,22.69,343.6,979818.88,-36.84,-48.55,0.03,1.42,D,-47.28,-31.04
CA702,36,41.77,121,41.96,34.0,979845.38,-29.84,-31.00,0.00,1.43,,-29.58,-34.38
CA709,36,38.67,121,39.78,47.0,979831.55,-37.97,-39.57,0.00,1.61,,-37.98,-39.93
CA716,36,41.58,121,44.03,26.0,979843.13,-32.56,-33.45,0.00,1.56,,-31.90,-39.66
CA842,36,36.44,121,38.69,55.5,979828.56,-36.94,-38.83,0.00,2.29,,-36.57,-36.90
CA842,36,36.44,121,38.69,55.5,979828.56,-36.94,-38.83,0.00,2.29,,-36.57,-36.90
CA847,36,39.68,121,48.97,86.6,979842.76,-24.49,-27.44,0.00,2.08,,-25.40,-41.43
CA847,36,39.68,121,48.97,86.6,979842.76,-24.49,-27.44,0.00,2.08,,-25.40,-41.43
CA873,36,30.10,121,45.35,243.2,979844.06,5.35,-2.94,0.00,4.02,,0.96,-8.58
CA873,36,30.10,121,45.35,243.2,979844.06,5.35,-2.94,0.00,4.02,,0.96,-8.58
EBR01,36,59.01,121,27.85,149.6,979861.03,-28.24,-33.34,0.07,1.46,D,-31.95,-17.69
EBR02,36,59.01,121,27.84,149.3,979861.20,-28.10,-33.19,0.10,1.49,D,-31.77,-17.50
EBR03,36,59.02,121,27.81,144.6,979862.07,-27.68,-32.62,0.15,1.56,D,-31.12,-16.83
EBR04,36,59.04,121,27.78,143.0,979862.96,-26.97,-31.85,0.17,1.61,D,-30.30,-15.98
EBR05,36,59.06,121,27.76,141.0,979863.52,-26.63,-31.44,0.16,1.63,D,-29.87,-15.54
EBR06,36,59.07,121,27.73,140.8,979863.96,-26.22,-31.03,0.15,1.63,D,-29.46,-15.09
EBR07,36,59.09,121,27.72,140.0,979864.49,-25.80,-30.57,0.07,1.58,D,-29.06,-14.68
EBR08,36,59.08,121,27.65,141.4,979864.80,-25.34,-30.17,0.15,1.65,D,-28.58,-14.16
EBR09,36,59.08,121,27.62,140.8,979865.13,-25.07,-29.87,0.12,1.62,D,-28.31,-13.87
EBR10,36,59.07,121,27.57,141.1,979865.28,-24.88,-29.69,0.13,1.63,D,-28.12,-13.66
EBR11,36,59.06,121,27.55,140.5,979865.37,-24.83,-29.62,0.11,1.59,D,-28.09,-13.62
ECB01,36,49.62,121,23.98,310.1,979821.51,-39.08,-49.65,0.20,1.32,D,-48.47,-33.29
ECB02,36,49.63,121,23.97,310.0,979821.61,-39.00,-49.57,0.01,1.13,D,-48.58,-33.39
ECB03,36,49.64,121,23.95,310.5,979821.63,-38.95,-49.54,0.01,1.12,D,-48.55,-33.34
ECB04,36,49.65,121,23.94,311.3,979821.53,-38.99,-49.60,0.01,1.12,D,-48.62,-33.40
ECB06,36,49.68,121,23.92,311.7,979821.48,-39.04,-49.67,0.02,1.12,D,-48.69,-33.46
ECB07,36,49.69,121,23.91,307.7,979821.65,-39.26,-49.76,0.01,1.11,D,-48.78,-33.54
ECB08,36,49.71,121,23.88,311.7,979821.43,-39.14,-49.77,0.00,1.09,D,-48.81,-33.55
ECB09,36,49.72,121,23.87,312.2,979821.43,-39.10,-49.75,0.00,1.09,D,-48.80,-33.53
ECB10,36,49.73,121,23.86,312.4,979821.45,-39.08,-49.73,0.00,1.09,D,-48.78,-33.50
ECB11,36,49.75,121,23.84,312.5,979821.46,-39.09,-49.75,0.00,1.09,D,-48.79,-33.50
ECB12,36,49.77,121,23.82,318.7,979821.04,-38.95,-49.82,0.01,1.09,D,-48.87,-33.56
ECB13,36,49.80,121,23.80,319.3,979821.11,-38.87,-49.76,0.00,1.07,D,-48.83,-33.50
ECB14,36,49.84,121,23.74,319.5,979821.21,-38.81,-49.71,0.00,1.06,D,-48.79,-33.42
ECB15,36,49.84,121,23.70,319.4,979821.25,-38.78,-49.67,0.00,1.06,D,-48.75,-33.34
ECB16,36,49.84,121,23.66,319.7,979821.27,-38.73,-49.64,0.00,1.06,D,-48.71,-33.27
ECB17,36,49.83,121,23.62,320.1,979821.30,-38.65,-49.57,0.00,1.07,D,-48.64,-33.16
ECB18,36,49.83,121,23.57,320.7,979821.28,-38.61,-49.55,0.00,1.07,D,-48.62,-33.11
ECB19,36,49.83,121,23.54,322.3,979821.16,-38.58,-49.57,0.00,1.06,D,-48.66,-33.12
