stationname,latdeg,latmin,londeg,lonmin,elevation,observedgravity,freeairanomaly,simplebougaranomaly,innerterraincorrection,totalterraincorrection,correctionextent,completebougaranomaly,isostaticresidualanomaly
BROOKS24,36,40.10,121,50.67,-142.3,979863.06,-26.33,-19.62,0.00,2.38,,-17.24,-36.37
BROOKS25,36,40.60,121,49.50,-71.5,979855.58,-27.87,-24.51,0.00,2.30,,-22.21,-39.06
BROOKS26,36,41.18,121,50.32,-145.1,979863.18,-28.03,-21.20,0.00,2.29,,-18.91,-37.04
BROOKS27,36,41.63,121,49.28,-78.1,979855.81,-29.75,-26.08,0.00,2.13,,-23.95,-40.11
BROOKS28,36,41.93,121,49.97,-131.4,979861.90,-29.11,-22.93,0.00,2.14,,-20.79,-38.04
BROOKS29,36,42.83,121,50.38,-140.4,979864.15,-29.00,-22.39,0.00,2.15,,-20.24,-37.86
BROOKS30,36,42.03,121,50.97,-191.0,979868.74,-28.02,-19.02,0.00,2.30,,-16.72,-35.72
BROOKS31,36,41.50,121,51.55,-221.3,979872.18,-26.66,-16.23,0.00,2.35,,-13.88,-34.17
BROOKS32,36,41.07,121,50.97,-186.3,979867.51,-27.42,-18.63,0.00,2.34,,-16.29,-35.65
BROOKS33,36,40.42,121,51.63,-204.8,979870.27,-25.46,-15.80,0.00,2.46,,-13.34,-34.19
BROOKS34,36,39.53,121,51.87,-193.9,979871.58,-21.84,-12.69,0.00,2.57,,-10.12,-31.74
BROOKS35,36,43.40,121,49.28,-67.0,979857.80,-29.27,-26.10,0.00,1.95,,-24.15,-39.64
BROOKS36,36,44.15,121,48.72,-39.1,979857.42,-28.11,-26.25,0.00,1.90,,-24.35,-38.59
BROOKS37,36,44.78,121,49.28,-54.4,979861.00,-26.88,-24.29,0.00,1.91,,-22.38,-37.22
BROOKS38,36,45.48,121,48.77,-42.7,979861.92,-25.87,-23.84,0.00,1.85,,-21.99,-35.65
BROOKS39,36,41.37,121,53.22,-264.1,979880.68,-22.00,-9.52,0.00,2.57,,-6.95,-30.58
BROOKS40,36,41.07,121,53.80,-275.1,979882.60,-20.68,-7.68,0.00,2.75,,-4.93,-29.88
BROOKS41,36,40.57,121,53.40,-257.8,979880.45,-20.48,-8.30,0.00,2.71,,-5.59,-29.94
BROOKS42,36,40.03,121,54.57,-276.4,979888.81,-13.09,-0.04,0.00,2.94,,2.90,-24.20
BROOKS43,36,39.58,121,55.50,-271.9,979893.28,-7.55,5.29,0.00,3.27,,8.56,-20.85
BROOKS44,36,39.05,121,56.17,-231.8,979895.55,-0.74,10.20,0.00,3.52,,13.72,-17.53
BROOKS45,36,38.82,121,56.90,-204.7,979894.50,1.09,10.75,0.00,3.73,,14.48,-18.64
BROOKS46,36,39.57,121,56.77,-270.1,979896.47,-4.18,8.56,0.00,3.62,,12.18,-20.24
BROOKS47,36,39.85,121,56.67,-302.2,979895.94,-8.13,6.13,0.00,3.59,,9.72,-22.30
BROOKS48,36,40.57,121,55.42,-293.6,979891.66,-12.64,1.20,0.00,3.28,,4.48,-24.25
BROOKS49,36,38.35,121,54.27,-211.1,979889.37,-3.97,5.97,0.00,2.96,,8.93,-18.16
BROOKS50,36,41.47,121,54.60,-294.7,979887.23,-18.47,-4.57,0.00,2.96,,-1.61,-28.04
BROOKS51,36,42.08,121,53.70,-278.7,979884.22,-20.86,-7.72,0.00,2.69,,-5.03,-29.26
BROOKS52,36,42.83,121,53.00,-258.8,979880.05,-24.24,-12.03,0.00,2.43,,-9.60,-32.03
BROOKS53,36,42.60,121,51.90,-228.5,979874.95,-26.16,-15.39,0.00,2.37,,-13.02,-33.48
BROOKS54,36,43.25,121,51.92,-217.1,979874.79,-26.18,-15.95,0.00,2.25,,-13.70,-33.86
BROOKS55,36,43.60,121,50.85,-155.2,979868.08,-27.58,-20.27,0.00,2.15,,-18.12,-36.17
BROOKS56,36,42.73,121,49.23,-75.7,979856.94,-29.98,-26.42,0.00,2.04,,-24.38,-40.06
BROOKS57,36,44.07,121,49.83,-76.8,979861.00,-27.96,-24.35,0.00,2.02,,-22.33,-38.42
BROOKS58,36,44.50,121,50.78,-147.9,979868.89,-27.38,-20.42,0.00,2.10,,-18.32,-35.76
BROOKS59,36,45.18,121,50.48,-125.3,979868.37,-26.76,-20.87,0.00,2.03,,-18.84,-35.38
BROOKS60,36,46.77,121,49.35,-136.5,979871.48,-27.00,-20.58,0.00,1.94,,-18.64,-32.41
BROOKS61,36,45.73,121,49.53,-72.3,979865.24,-25.69,-22.31,0.00,1.89,,-20.42,-35.12
BROOKS62,36,46.32,121,48.78,-49.8,979864.19,-25.48,-23.16,0.00,1.83,,-21.33,-34.53
BROOKS63,36,46.95,121,48.17,-33.0,979864.19,-24.81,-23.29,0.00,1.77,,-21.52,-33.42
BROOKS64,36,47.83,121,47.78,-37.0,979865.43,-25.22,-23.52,0.00,1.78,,-21.74,-32.53
BROOKS65,36,48.17,121,48.45,-456.8,979890.23,-40.40,-18.89,0.00,2.98,,-15.91,-27.38
BROOKS66,36,47.38,121,49.03,-135.4,979871.81,-27.44,-21.11,0.00,2.19,,-18.92,-31.80
BROOKS67,36,46.20,121,50.57,-153.0,979872.43,-26.77,-19.62,0.00,2.09,,-17.53,-33.57
BROOKS68,36,45.27,121,51.60,-208.4,979876.64,-26.43,-16.66,0.00,2.20,,-14.46,-32.82
BROOKS69,36,44.53,121,51.87,-219.5,979877.10,-25.95,-15.66,0.00,2.20,,-13.46,-32.78
BROOKS70,36,43.83,121,51.53,-194.7,979872.68,-27.02,-17.91,0.00,2.25,,-15.66,-34.78
BROOKS71,36,43.63,121,52.50,-241.8,979878.13,-25.72,-14.39,0.00,2.35,,-12.04,-33.05
BROOKS72,36,44.43,121,52.93,-261.3,979882.54,-24.30,-12.05,0.00,2.38,,-9.67,-30.95
BROOKS73,36,45.92,121,51.80,-241.2,979880.35,-26.75,-15.45,0.00,2.29,,-13.16,-31.40
BROOKS74,36,46.85,121,50.60,-185.3,979876.09,-27.09,-18.43,0.00,2.27,,-16.16,-31.77
BROOKS75,36,46.77,121,51.70,-263.9,979882.73,-27.73,-15.36,0.00,2.50,,-12.86,-30.29
BROOKS76,36,45.47,121,52.67,-269.9,979884.03,-25.12,-12.46,0.00,2.40,,-10.06,-30.14
BROOKS77,36,44.97,121,53.75,-294.6,979887.19,-23.56,-9.73,0.00,2.59,,-7.14,-29.52
BROOKS78,36,44.00,121,53.65,-279.7,979884.07,-23.87,-10.74,0.00,2.52,,-8.22,-31.12
BROOKS79,36,43.45,121,54.42,-300.9,979887.70,-21.44,-7.31,0.00,2.76,,-4.55,-29.34
BROOKS80,36,43.30,121,53.50,-277.7,979882.61,-24.14,-11.11,0.00,2.54,,-8.57,-31.67
BROOKS81,36,42.63,121,54.13,-290.1,979882.75,-24.19,-10.57,0.00,2.79,,-7.78,-32.55
BROOKS82,36,37.57,121,50.97,-52.4,979860.86,-16.42,-14.01,0.00,2.63,,-11.38,-31.63
SPIKES02,36,53.32,122,1.68,-180.7,979906.46,-5.64,2.93,0.00,2.48,,5.41,-19.64
SPIKES03,36,54.38,122,1.68,-139.1,979910.22,0.50,7.14,0.00,2.42,,9.56,-13.72
SPIKES04,36,55.13,122,2.68,-129.9,979914.22,4.28,10.48,0.00,2.39,,12.87,-10.60
SPIKES05,36,55.93,122,3.83,-111.4,979922.25,12.89,18.22,0.00,2.48,,20.70,-3.03
SPIKES06,36,55.90,122,5.20,-140.6,979919.78,7.72,14.40,0.00,2.56,,16.96,-8.82
SPIKES07,36,56.75,122,4.58,-60.1,979927.42,21.70,24.57,0.00,2.51,,27.08,3.70
SPIKES08,36,56.67,122,5.83,-106.8,979917.14,7.14,12.21,0.00,2.52,,14.73,-10.58
SPIKES09,36,57.23,122,6.87,-94.4,979922.47,12.83,17.31,0.00,2.89,,20.20,-5.63
SPIKES10,36,57.58,122,7.95,-86.2,979924.76,15.38,19.46,0.00,2.96,,22.42,-4.35
SPIKES11,36,58.13,122,8.97,-74.0,979927.33,18.30,21.81,0.00,3.01,,24.82,-2.42
SPIKES12,36,58.92,122,10.00,-55.6,979921.04,12.60,15.23,0.00,3.31,,18.54,-8.70
SPIKES13,36,59.50,122,10.83,-52.2,979913.13,4.17,6.63,0.00,3.29,,9.92,-17.44
SPIKES22,36,59.37,122,12.17,-113.8,979914.16,-0.41,4.93,0.00,3.25,,8.18,-21.47
SPIKES23,36,58.70,122,11.28,-124.1,979916.20,1.63,7.46,0.00,3.28,,10.74,-18.87
SPIKES24,36,58.05,122,10.33,-122.9,979919.80,6.29,12.06,0.00,3.29,,15.35,-14.11
SPIKES25,36,57.47,122,9.35,-136.7,979919.85,5.88,12.31,0.00,2.99,,15.30,-13.80
SPIKES26,36,56.80,122,8.43,-162.7,979915.05,-0.40,7.26,0.00,2.97,,10.23,-18.76
SPIKES27,36,56.33,122,7.33,-157.7,979915.78,1.48,8.92,0.00,2.95,,11.87,-16.34
SPIKES28,36,55.75,122,6.32,-156.0,979915.71,2.41,9.77,0.00,2.57,,12.34,-15.42
SPIKES29,36,52.37,122,1.47,-211.0,979898.26,-15.32,-5.46,0.00,2.58,,-2.88,-29.20
SPIKES30,36,52.33,122,2.17,-230.9,979899.67,-15.72,-4.91,0.00,2.62,,-2.29,-29.79
SPIKES31,36,53.58,122,2.50,-183.2,979907.93,-4.79,3.78,0.00,2.47,,6.25,-19.60
SPIKES32,36,54.13,122,3.07,-187.2,979911.45,-2.44,6.32,0.00,2.48,,8.80,-16.97
SPIKES33,36,54.92,122,3.88,-154.5,979915.31,3.36,10.62,0.00,2.37,,12.99,-12.61
SPIKES34,36,55.00,122,5.27,-159.6,979915.24,2.69,10.22,0.00,2.59,,12.81,-14.77
SPIKES35,36,54.75,122,6.42,-204.7,979908.70,-7.73,1.97,0.00,3.14,,5.11,-24.74
SPIKES36,36,55.20,122,7.67,-215.1,979909.14,-8.92,1.30,0.00,3.11,,4.41,-26.57
